n,pattern,seed,policy,L,rho,tau,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires,r_sss,empty_mechanism
5,A,7,nearest_neighbor,2.2361,inf,0.0,8.2522,6.7467,1.2231,2.5319,1.3167,31,5,False,0.395498,True,False,1.1498669710029166,balanced_complement
5,A,7,cheapest_insertion,2.2361,inf,0.0,6.7467,6.7467,1.0,2.5319,1.3167,31,5,True,-0.804839,True,False,1.1498669710029166,core_nonempty
5,A,7,batch_reoptimize,2.2361,inf,0.0,6.7467,6.7467,1.0,2.5319,1.3167,31,5,True,-0.804839,True,False,1.1498669710029166,core_nonempty
5,A,42,nearest_neighbor,2.2361,inf,0.0,6.256,5.9151,1.0576,3.0129,1.1663,31,5,True,-0.321283,True,False,1.206720465360141,core_nonempty
5,A,42,cheapest_insertion,2.2361,inf,0.0,5.9151,5.9151,1.0,3.0129,1.1663,31,5,True,-0.491737,True,False,1.206720465360141,core_nonempty
5,A,42,batch_reoptimize,2.2361,inf,0.0,5.9151,5.9151,1.0,3.0129,1.1663,31,5,True,-0.491737,True,False,1.206720465360141,core_nonempty
5,A,99,nearest_neighbor,2.2361,inf,0.0,6.0732,5.7496,1.0563,3.0608,1.2331,31,5,True,-0.508189,True,False,1.211837780976721,core_nonempty
5,A,99,cheapest_insertion,2.2361,inf,0.0,5.7496,5.7496,1.0,3.0608,1.2331,31,5,True,-0.669998,True,False,1.211837780976721,core_nonempty
5,A,99,batch_reoptimize,2.2361,inf,0.0,5.7496,5.7496,1.0,3.0608,1.2331,31,5,True,-0.669998,True,False,1.211837780976721,core_nonempty
5,A,123,nearest_neighbor,2.2361,inf,0.0,6.3529,6.1072,1.0402,2.9295,1.3378,31,5,True,-0.471278,True,False,1.136684227120712,core_nonempty
5,A,123,cheapest_insertion,2.2361,inf,0.0,6.1199,6.1072,1.0021,2.9295,1.3378,31,5,True,-0.657657,True,False,1.136684227120712,core_nonempty
5,A,123,batch_reoptimize,2.2361,inf,0.0,6.1072,6.1072,1.0,2.9295,1.3378,31,5,True,-0.667808,True,False,1.136684227120712,core_nonempty
5,A,256,nearest_neighbor,2.2361,inf,0.0,6.1648,5.1672,1.1931,2.1502,1.1835,31,5,False,0.18882,True,True,1.147377949851403,single_complement
5,A,256,cheapest_insertion,2.2361,inf,0.0,5.1672,5.1672,1.0,2.1502,1.1835,31,5,True,-0.47419,True,False,1.147377949851403,core_nonempty
5,A,256,batch_reoptimize,2.2361,inf,0.0,5.1672,5.1672,1.0,2.1502,1.1835,31,5,True,-0.47419,True,False,1.147377949851403,core_nonempty
5,B_heavy,7,nearest_neighbor,2.2361,4.0,0.1781,7.0388,6.7467,1.0433,2.5319,1.3167,31,5,True,-0.575224,True,False,1.1498669710029166,core_nonempty
5,B_heavy,7,cheapest_insertion,2.2361,4.0,0.1781,7.4124,6.7467,1.0987,2.5319,1.3167,31,5,True,-0.276373,True,False,1.1498669710029166,core_nonempty
5,B_heavy,7,batch_reoptimize,2.2361,4.0,0.1781,7.0388,6.7467,1.0433,2.5319,1.3167,31,5,True,-0.575224,True,False,1.1498669710029166,core_nonempty
5,B_heavy,42,nearest_neighbor,2.2361,4.0,0.1781,6.7811,5.9151,1.1464,3.0129,1.1663,31,5,True,-0.058714,True,False,1.206720465360141,core_nonempty
5,B_heavy,42,cheapest_insertion,2.2361,4.0,0.1781,6.7811,5.9151,1.1464,3.0129,1.1663,31,5,True,-0.058714,True,False,1.206720465360141,core_nonempty
5,B_heavy,42,batch_reoptimize,2.2361,4.0,0.1781,6.7811,5.9151,1.1464,3.0129,1.1663,31,5,True,-0.058714,True,False,1.206720465360141,core_nonempty
5,B_heavy,99,nearest_neighbor,2.2361,4.0,0.1781,6.0015,5.7496,1.0438,3.0608,1.2331,31,5,True,-0.54405,True,False,1.211837780976721,core_nonempty
5,B_heavy,99,cheapest_insertion,2.2361,4.0,0.1781,5.7496,5.7496,1.0,3.0608,1.2331,31,5,True,-0.669998,True,False,1.211837780976721,core_nonempty
5,B_heavy,99,batch_reoptimize,2.2361,4.0,0.1781,5.7496,5.7496,1.0,3.0608,1.2331,31,5,True,-0.669998,True,False,1.211837780976721,core_nonempty
5,B_heavy,123,nearest_neighbor,2.2361,4.0,0.1781,7.5893,6.1072,1.2427,2.9295,1.3378,31,5,False,0.517901,True,False,1.136684227120712,balanced_complement
5,B_heavy,123,cheapest_insertion,2.2361,4.0,0.1781,6.1199,6.1072,1.0021,2.9295,1.3378,31,5,True,-0.657657,True,False,1.136684227120712,core_nonempty
5,B_heavy,123,batch_reoptimize,2.2361,4.0,0.1781,6.1199,6.1072,1.0021,2.9295,1.3378,31,5,True,-0.657657,True,False,1.136684227120712,core_nonempty
5,B_heavy,256,nearest_neighbor,2.2361,4.0,0.1781,6.1332,5.1672,1.1869,2.1502,1.1835,31,5,False,0.163574,True,True,1.147377949851403,single_complement
5,B_heavy,256,cheapest_insertion,2.2361,4.0,0.1781,5.5624,5.1672,1.0765,2.1502,1.1835,31,5,True,-0.27305,True,False,1.147377949851403,core_nonempty
5,B_heavy,256,batch_reoptimize,2.2361,4.0,0.1781,5.5624,5.1672,1.0765,2.1502,1.1835,31,5,True,-0.27305,True,False,1.147377949851403,core_nonempty
5,B_medium,7,nearest_neighbor,2.2361,2.0,0.3562,7.0388,6.7467,1.0433,2.5319,1.3167,31,5,True,-0.575224,True,False,1.1498669710029166,core_nonempty
5,B_medium,7,cheapest_insertion,2.2361,2.0,0.3562,7.4124,6.7467,1.0987,2.5319,1.3167,31,5,True,-0.276373,True,False,1.1498669710029166,core_nonempty
5,B_medium,7,batch_reoptimize,2.2361,2.0,0.3562,7.0388,6.7467,1.0433,2.5319,1.3167,31,5,True,-0.575224,True,False,1.1498669710029166,core_nonempty
5,B_medium,42,nearest_neighbor,2.2361,2.0,0.3562,6.7811,5.9151,1.1464,3.0129,1.1663,31,5,True,-0.058714,True,False,1.206720465360141,core_nonempty
5,B_medium,42,cheapest_insertion,2.2361,2.0,0.3562,6.7811,5.9151,1.1464,3.0129,1.1663,31,5,True,-0.058714,True,False,1.206720465360141,core_nonempty
5,B_medium,42,batch_reoptimize,2.2361,2.0,0.3562,6.7811,5.9151,1.1464,3.0129,1.1663,31,5,True,-0.058714,True,False,1.206720465360141,core_nonempty
5,B_medium,99,nearest_neighbor,2.2361,2.0,0.3562,6.0015,5.7496,1.0438,3.0608,1.2331,31,5,True,-0.54405,True,False,1.211837780976721,core_nonempty
5,B_medium,99,cheapest_insertion,2.2361,2.0,0.3562,5.7496,5.7496,1.0,3.0608,1.2331,31,5,True,-0.669998,True,False,1.211837780976721,core_nonempty
5,B_medium,99,batch_reoptimize,2.2361,2.0,0.3562,5.7496,5.7496,1.0,3.0608,1.2331,31,5,True,-0.669998,True,False,1.211837780976721,core_nonempty
5,B_medium,123,nearest_neighbor,2.2361,2.0,0.3562,7.5893,6.1072,1.2427,2.9295,1.3378,31,5,False,0.517901,True,False,1.136684227120712,balanced_complement
5,B_medium,123,cheapest_insertion,2.2361,2.0,0.3562,6.1199,6.1072,1.0021,2.9295,1.3378,31,5,True,-0.657657,True,False,1.136684227120712,core_nonempty
5,B_medium,123,batch_reoptimize,2.2361,2.0,0.3562,6.1199,6.1072,1.0021,2.9295,1.3378,31,5,True,-0.657657,True,False,1.136684227120712,core_nonempty
5,B_medium,256,nearest_neighbor,2.2361,2.0,0.3562,6.1332,5.1672,1.1869,2.1502,1.4259,23,4,True,-0.272306,True,False,,core_nonempty
5,B_medium,256,cheapest_insertion,2.2361,2.0,0.3562,5.5624,5.1672,1.0765,2.1502,1.4259,23,4,True,-0.557742,True,False,,core_nonempty
5,B_medium,256,batch_reoptimize,2.2361,2.0,0.3562,5.5624,5.1672,1.0765,2.1502,1.4259,23,4,True,-0.557742,True,False,,core_nonempty
5,B_light,7,nearest_neighbor,2.2361,0.5,1.4248,7.6965,6.7467,1.1408,2.5319,,7,2,True,-1.640314,False,False,,core_nonempty
5,B_light,7,cheapest_insertion,2.2361,0.5,1.4248,7.6965,6.7467,1.1408,2.5319,,7,2,True,-1.640314,False,False,,core_nonempty
5,B_light,7,batch_reoptimize,2.2361,0.5,1.4248,7.6965,6.7467,1.1408,2.5319,,7,2,True,-1.640314,False,False,,core_nonempty
5,B_light,42,nearest_neighbor,2.2361,0.5,1.4248,9.9757,5.9151,1.6865,3.0129,,9,2,True,-0.604982,False,False,,core_nonempty
5,B_light,42,cheapest_insertion,2.2361,0.5,1.4248,9.9757,5.9151,1.6865,3.0129,,9,2,True,-0.604982,False,False,,core_nonempty
5,B_light,42,batch_reoptimize,2.2361,0.5,1.4248,9.9757,5.9151,1.6865,3.0129,,9,2,True,-0.604982,False,False,,core_nonempty
5,B_light,99,nearest_neighbor,2.2361,0.5,1.4248,9.5247,5.7496,1.6566,3.0608,,8,2,True,-1.293142,False,False,,core_nonempty
5,B_light,99,cheapest_insertion,2.2361,0.5,1.4248,9.5247,5.7496,1.6566,3.0608,,8,2,True,-1.293142,False,False,,core_nonempty
5,B_light,99,batch_reoptimize,2.2361,0.5,1.4248,9.5247,5.7496,1.6566,3.0608,,8,2,True,-1.293142,False,False,,core_nonempty
5,B_light,123,nearest_neighbor,2.2361,0.5,1.4248,7.5375,6.1072,1.2342,2.9295,,7,2,True,-2.07065,False,False,,core_nonempty
5,B_light,123,cheapest_insertion,2.2361,0.5,1.4248,7.5375,6.1072,1.2342,2.9295,,7,2,True,-2.07065,False,False,,core_nonempty
5,B_light,123,batch_reoptimize,2.2361,0.5,1.4248,7.5375,6.1072,1.2342,2.9295,,7,2,True,-2.07065,False,False,,core_nonempty
5,B_light,256,nearest_neighbor,2.2361,0.5,1.4248,7.6101,5.1672,1.4728,2.1502,,5,1,True,-0.700123,False,False,,core_nonempty
5,B_light,256,cheapest_insertion,2.2361,0.5,1.4248,7.6101,5.1672,1.4728,2.1502,,5,1,True,-0.700123,False,False,,core_nonempty
5,B_light,256,batch_reoptimize,2.2361,0.5,1.4248,7.6101,5.1672,1.4728,2.1502,,5,1,True,-0.700123,False,False,,core_nonempty
5,C,7,nearest_neighbor,2.2361,2.0,0.3562,9.113,6.7467,1.3507,2.5319,1.3167,31,5,False,1.084136,True,True,1.1498669710029166,single_complement
5,C,7,cheapest_insertion,2.2361,2.0,0.3562,7.683,6.7467,1.1388,2.5319,1.3167,31,5,True,-0.059839,True,False,1.1498669710029166,core_nonempty
5,C,7,batch_reoptimize,2.2361,2.0,0.3562,7.683,6.7467,1.1388,2.5319,1.3167,31,5,True,-0.059839,True,False,1.1498669710029166,core_nonempty
5,C,42,nearest_neighbor,2.2361,2.0,0.3562,6.0671,5.9151,1.0257,3.0129,1.1663,31,5,True,-0.415736,True,False,1.206720465360141,core_nonempty
5,C,42,cheapest_insertion,2.2361,2.0,0.3562,6.0671,5.9151,1.0257,3.0129,1.1663,31,5,True,-0.415736,True,False,1.206720465360141,core_nonempty
5,C,42,batch_reoptimize,2.2361,2.0,0.3562,6.0671,5.9151,1.0257,3.0129,1.1663,31,5,True,-0.415736,True,False,1.206720465360141,core_nonempty
5,C,99,nearest_neighbor,2.2361,2.0,0.3562,6.1014,5.7496,1.0612,3.0608,1.2331,19,4,True,-0.494094,True,False,,core_nonempty
5,C,99,cheapest_insertion,2.2361,2.0,0.3562,6.0015,5.7496,1.0438,3.0608,1.2331,19,4,True,-0.54405,True,False,,core_nonempty
5,C,99,batch_reoptimize,2.2361,2.0,0.3562,6.0015,5.7496,1.0438,3.0608,1.2331,19,4,True,-0.54405,True,False,,core_nonempty
5,C,123,nearest_neighbor,2.2361,2.0,0.3562,7.5893,6.1072,1.2427,2.9295,1.3378,31,5,False,0.517901,True,False,1.136684227120712,balanced_complement
5,C,123,cheapest_insertion,2.2361,2.0,0.3562,6.1199,6.1072,1.0021,2.9295,1.3378,31,5,True,-0.657657,True,False,1.136684227120712,core_nonempty
5,C,123,batch_reoptimize,2.2361,2.0,0.3562,6.1199,6.1072,1.0021,2.9295,1.3378,31,5,True,-0.657657,True,False,1.136684227120712,core_nonempty
5,C,256,nearest_neighbor,2.2361,2.0,0.3562,6.0822,5.1672,1.1771,2.1502,1.1835,31,5,False,0.122785,True,False,1.147377949851403,balanced_complement
5,C,256,cheapest_insertion,2.2361,2.0,0.3562,5.1672,5.1672,1.0,2.1502,1.1835,31,5,True,-0.47419,True,False,1.147377949851403,core_nonempty
5,C,256,batch_reoptimize,2.2361,2.0,0.3562,5.1672,5.1672,1.0,2.1502,1.1835,31,5,True,-0.47419,True,False,1.147377949851403,core_nonempty
5,D,7,nearest_neighbor,2.2361,1.0,0.7124,8.1374,6.7467,1.2061,2.5319,1.3167,17,4,True,-0.373131,True,False,,core_nonempty
5,D,7,cheapest_insertion,2.2361,1.0,0.7124,7.9307,6.7467,1.1755,2.5319,1.3167,17,4,True,-0.476471,True,False,,core_nonempty
5,D,7,batch_reoptimize,2.2361,1.0,0.7124,7.9307,6.7467,1.1755,2.5319,1.3167,17,4,True,-0.476471,True,False,,core_nonempty
5,D,42,nearest_neighbor,2.2361,1.0,0.7124,7.2896,5.9151,1.2324,3.0129,1.6439,19,4,True,-1.139628,True,False,,core_nonempty
5,D,42,cheapest_insertion,2.2361,1.0,0.7124,7.2896,5.9151,1.2324,3.0129,1.6439,19,4,True,-1.139628,True,False,,core_nonempty
5,D,42,batch_reoptimize,2.2361,1.0,0.7124,7.2896,5.9151,1.2324,3.0129,1.6439,19,4,True,-1.139628,True,False,,core_nonempty
5,D,99,nearest_neighbor,2.2361,1.0,0.7124,6.3164,5.7496,1.0986,3.0608,1.2331,19,4,True,-0.38662,True,False,,core_nonempty
5,D,99,cheapest_insertion,2.2361,1.0,0.7124,6.1014,5.7496,1.0612,3.0608,1.2331,19,4,True,-0.494094,True,False,,core_nonempty
5,D,99,batch_reoptimize,2.2361,1.0,0.7124,6.1014,5.7496,1.0612,3.0608,1.2331,19,4,True,-0.494094,True,False,,core_nonempty
5,D,123,nearest_neighbor,2.2361,1.0,0.7124,7.7729,6.1072,1.2727,2.9295,,13,3,True,-0.907765,False,False,,core_nonempty
5,D,123,cheapest_insertion,2.2361,1.0,0.7124,7.5272,6.1072,1.2325,2.9295,,13,3,True,-1.030596,False,False,,core_nonempty
5,D,123,batch_reoptimize,2.2361,1.0,0.7124,7.5272,6.1072,1.2325,2.9295,,13,3,True,-1.030596,False,False,,core_nonempty
5,D,256,nearest_neighbor,2.2361,1.0,0.7124,7.7089,5.1672,1.4919,2.1502,,9,2,True,-0.40326,False,False,,core_nonempty
5,D,256,cheapest_insertion,2.2361,1.0,0.7124,7.7089,5.1672,1.4919,2.1502,,9,2,True,-0.40326,False,False,,core_nonempty
5,D,256,batch_reoptimize,2.2361,1.0,0.7124,7.7089,5.1672,1.4919,2.1502,,9,2,True,-0.40326,False,False,,core_nonempty
5,E,7,nearest_neighbor,2.2361,1.0,0.7124,8.5109,6.7467,1.2615,2.5319,1.5435,19,4,True,-0.95138,True,False,,core_nonempty
5,E,7,cheapest_insertion,2.2361,1.0,0.7124,8.2596,6.7467,1.2242,2.5319,1.5435,19,4,True,-1.077019,True,False,,core_nonempty
5,E,7,batch_reoptimize,2.2361,1.0,0.7124,8.2596,6.7467,1.2242,2.5319,1.5435,19,4,True,-1.077019,True,False,,core_nonempty
5,E,42,nearest_neighbor,2.2361,1.0,0.7124,7.3125,5.9151,1.2363,3.0129,1.6439,19,4,True,-1.131991,True,False,,core_nonempty
5,E,42,cheapest_insertion,2.2361,1.0,0.7124,7.3125,5.9151,1.2363,3.0129,1.6439,19,4,True,-1.131991,True,False,,core_nonempty
5,E,42,batch_reoptimize,2.2361,1.0,0.7124,7.3125,5.9151,1.2363,3.0129,1.6439,19,4,True,-1.131991,True,False,,core_nonempty
5,E,99,nearest_neighbor,2.2361,1.0,0.7124,6.1014,5.7496,1.0612,3.0608,,13,3,True,-1.364791,False,False,,core_nonempty
5,E,99,cheapest_insertion,2.2361,1.0,0.7124,6.1616,5.7496,1.0717,3.0608,,15,3,True,-1.344713,False,False,,core_nonempty
5,E,99,batch_reoptimize,2.2361,1.0,0.7124,6.1616,5.7496,1.0717,3.0608,,15,3,True,-1.344713,False,False,,core_nonempty
5,E,123,nearest_neighbor,2.2361,1.0,0.7124,6.3529,6.1072,1.0402,2.9295,1.3378,23,4,True,-0.908587,True,False,,core_nonempty
5,E,123,cheapest_insertion,2.2361,1.0,0.7124,6.3529,6.1072,1.0402,2.9295,1.3378,23,4,True,-0.908587,True,False,,core_nonempty
5,E,123,batch_reoptimize,2.2361,1.0,0.7124,6.3529,6.1072,1.0402,2.9295,1.3378,23,4,True,-0.908587,True,False,,core_nonempty
5,E,256,nearest_neighbor,2.2361,1.0,0.7124,5.8283,5.1672,1.1279,2.1502,,10,3,True,-0.424791,False,False,,core_nonempty
5,E,256,cheapest_insertion,2.2361,1.0,0.7124,6.0475,5.1672,1.1703,2.1502,,13,3,True,-0.315192,False,False,,core_nonempty
5,E,256,batch_reoptimize,2.2361,1.0,0.7124,6.0475,5.1672,1.1703,2.1502,,13,3,True,-0.315192,False,False,,core_nonempty
7,A,7,nearest_neighbor,2.6458,inf,0.0,9.6444,8.2041,1.1756,3.3917,1.2491,127,7,False,0.436249,True,False,1.1135284686045142,balanced_complement
7,A,7,cheapest_insertion,2.6458,inf,0.0,8.2041,8.2041,1.0,3.3917,1.2491,127,7,True,-0.79834,True,False,1.1135284686045142,core_nonempty
7,A,7,batch_reoptimize,2.6458,inf,0.0,8.2041,8.2041,1.0,3.3917,1.2491,127,7,True,-0.79834,True,False,1.1135284686045142,core_nonempty
7,A,42,nearest_neighbor,2.6458,inf,0.0,8.4905,8.2919,1.024,3.7104,1.1279,127,7,True,-0.431089,True,False,1.134200996709929,core_nonempty
7,A,42,cheapest_insertion,2.6458,inf,0.0,8.3689,8.2919,1.0093,3.7104,1.1279,127,7,True,-0.491905,True,False,1.134200996709929,core_nonempty
7,A,42,batch_reoptimize,2.6458,inf,0.0,8.2919,8.2919,1.0,3.7104,1.1279,127,7,True,-0.530417,True,False,1.134200996709929,core_nonempty
7,A,99,nearest_neighbor,2.6458,inf,0.0,8.6444,7.838,1.1029,3.8005,1.2023,127,7,True,-0.115895,True,False,1.1247064406252514,core_nonempty
7,A,99,cheapest_insertion,2.6458,inf,0.0,7.9459,7.838,1.0138,3.8005,1.2023,127,7,True,-0.697942,True,False,1.1247064406252514,core_nonempty
7,A,99,batch_reoptimize,2.6458,inf,0.0,7.838,7.838,1.0,3.8005,1.2023,127,7,True,-0.787885,True,False,1.1247064406252514,core_nonempty
7,A,123,nearest_neighbor,2.6458,inf,0.0,7.8694,7.8694,1.0,3.5295,1.2448,127,7,True,-0.578062,True,False,1.085747177475105,core_nonempty
7,A,123,cheapest_insertion,2.6458,inf,0.0,8.0599,7.8694,1.0242,3.5295,1.2448,127,7,True,-0.415041,True,False,1.085747177475105,core_nonempty
7,A,123,batch_reoptimize,2.6458,inf,0.0,7.8694,7.8694,1.0,3.5295,1.2448,127,7,True,-0.578062,True,False,1.085747177475105,core_nonempty
7,A,256,nearest_neighbor,2.6458,inf,0.0,7.7247,6.5444,1.1804,3.2983,1.1715,127,7,False,0.311385,True,True,1.1248468780807472,single_complement
7,A,256,cheapest_insertion,2.6458,inf,0.0,6.5444,6.5444,1.0,3.2983,1.1715,127,7,True,-0.561069,True,False,1.1248468780807472,core_nonempty
7,A,256,batch_reoptimize,2.6458,inf,0.0,6.5444,6.5444,1.0,3.2983,1.1715,127,7,True,-0.561069,True,False,1.1248468780807472,core_nonempty
7,B_heavy,7,nearest_neighbor,2.6458,4.0,0.1781,8.5497,8.2041,1.0421,3.3917,1.2491,127,7,True,-0.502115,True,False,1.1135284686045142,core_nonempty
7,B_heavy,7,cheapest_insertion,2.6458,4.0,0.1781,9.2814,8.2041,1.1313,3.3917,1.2491,127,7,False,0.125062,True,False,1.1135284686045142,balanced_complement
7,B_heavy,7,batch_reoptimize,2.6458,4.0,0.1781,8.5497,8.2041,1.0421,3.3917,1.2491,127,7,True,-0.502115,True,False,1.1135284686045142,core_nonempty
7,B_heavy,42,nearest_neighbor,2.6458,4.0,0.1781,9.4339,8.2919,1.1377,3.7104,1.1279,127,7,False,0.040607,True,True,1.134200996709929,single_complement
7,B_heavy,42,cheapest_insertion,2.6458,4.0,0.1781,9.3166,8.2919,1.1236,3.7104,1.1279,127,7,True,-0.018057,True,False,1.134200996709929,core_nonempty
7,B_heavy,42,batch_reoptimize,2.6458,4.0,0.1781,9.3166,8.2919,1.1236,3.7104,1.1279,127,7,True,-0.018057,True,False,1.134200996709929,core_nonempty
7,B_heavy,99,nearest_neighbor,2.6458,4.0,0.1781,9.9986,7.838,1.2757,3.8005,1.2023,127,7,False,1.014158,True,True,1.1247064406252514,single_complement
7,B_heavy,99,cheapest_insertion,2.6458,4.0,0.1781,9.0444,7.838,1.1539,3.8005,1.2023,127,7,False,0.217483,True,False,1.1247064406252514,near_complement
7,B_heavy,99,batch_reoptimize,2.6458,4.0,0.1781,8.8941,7.838,1.1347,3.8005,1.2023,127,7,False,0.092165,True,False,1.1247064406252514,near_complement
